DVN_NAME,unique_messages,rows,total_fees_eth,total_required_fees_eth,total_optional_fees_eth,median_latency,p95_latency,delivered_messages,delivered_rate
BCW Group,14,14,0.0005199075108561,0.0,0.0005199075108561,,,0,0.0
BWare,14,14,0.0005034878357315,0.0,0.0005034878357315,,,0,0.0
BitGo,14,14,0.0005081791714814,0.0,0.0005081791714814,,,0,0.0
Canary,133,133,0.0049222387142609,0.0002609560685328,0.004661282645728101,,,58,0.43609022556390975
Deutsche Telekom,133,133,0.005034616727148799,0.0002609560685328,0.004773660658616,,,58,0.43609022556390975
Google Cloud,71,71,0.004665973981478002,0.004665973981478002,0.0,,,57,0.8028169014084507
Horizen,14,14,0.0005292901823555,0.0,0.0005292901823555,,,0,0.0
LayerZero Labs,71,71,0.004665973981478002,0.004665973981478002,0.0,,,57,0.8028169014084507
Luganodes,57,57,0.0041577948099965996,0.0,0.0041577948099965996,,,57,1.0
Nethermind,14,14,0.0005034878357315,0.0005034878357315,0.0,,,0,0.0
Omni X,14,14,0.0005199075108561,0.0,0.0005199075108561,,,0,0.0
P2P,76,76,0.0007691352400142,0.0002609560685328,0.0005081791714814,,,1,0.013157894736842105
Stargate,14,14,0.0005081791714814,0.0,0.0005081791714814,,,0,0.0
Unknown DVN,62,62,0.0002609560685328,0.0,0.0002609560685328,,,1,0.016129032258064516
